--- first setup ---
Valid spectra: 72

--- second setup ---
Valid spectra: 72

--- third setup ---
Valid spectra: 72

=== Combined (216 total spectra) ===
                                      file               timestamp    pol  pointing_idx  az_deg
170   third setup/EOS20260311131354259.csv 2026-03-11 13:13:54.259   0deg            13    26.0
171   third setup/EOS20260311131430812.csv 2026-03-11 13:14:30.812  90deg            13    26.0
172   third setup/EOS20260311131449259.csv 2026-03-11 13:14:49.259   0deg            14    28.0
173   third setup/EOS20260311131507469.csv 2026-03-11 13:15:07.469  90deg            14    28.0
174   third setup/EOS20260311131544044.csv 2026-03-11 13:15:44.044   0deg            15    30.0
175   third setup/EOS20260311131602437.csv 2026-03-11 13:16:02.437  90deg            15    30.0
176   third setup/EOS20260311131620610.csv 2026-03-11 13:16:20.610   0deg            16    32.0
177   third setup/EOS20260311131657347.csv 2026-03-11 13:16:57.347  90deg            16    32.0
178   third setup/EOS20260311131715671.csv 2026-03-11 13:17:15.671   0deg            17    34.0
179   third setup/EOS20260311131734031.csv 2026-03-11 13:17:34.031  90deg            17    34.0
180   third setup/EOS20260311131810675.csv 2026-03-11 13:18:10.675   0deg            18    36.0
181   third setup/EOS20260311131829133.csv 2026-03-11 13:18:29.133  90deg            18    36.0
182   third setup/EOS20260311131847433.csv 2026-03-11 13:18:47.433   0deg            19    38.0
183   third setup/EOS20260311131924286.csv 2026-03-11 13:19:24.286  90deg            19    38.0
184   third setup/EOS20260311131942634.csv 2026-03-11 13:19:42.634   0deg            20    40.0
185   third setup/EOS20260311132000928.csv 2026-03-11 13:20:00.928  90deg            20    40.0
186   third setup/EOS20260311132438716.csv 2026-03-11 13:24:38.716   0deg            21    42.0
187   third setup/EOS20260311132502214.csv 2026-03-11 13:25:02.214  90deg            21    42.0
188   third setup/EOS20260311132525273.csv 2026-03-11 13:25:25.273   0deg            22    44.0
189   third setup/EOS20260311132611776.csv 2026-03-11 13:26:11.776  90deg            22    44.0
190   third setup/EOS20260311132706049.csv 2026-03-11 13:27:06.049   0deg            23    46.0
191   third setup/EOS20260311132729483.csv 2026-03-11 13:27:29.483  90deg            23    46.0
192   third setup/EOS20260311132815803.csv 2026-03-11 13:28:15.803   0deg            24    48.0
193   third setup/EOS20260311132839090.csv 2026-03-11 13:28:39.090  90deg            24    48.0
194   third setup/EOS20260311132902148.csv 2026-03-11 13:29:02.148   0deg            25    50.0
195   third setup/EOS20260311132948292.csv 2026-03-11 13:29:48.292  90deg            25    50.0
196   third setup/EOS20260311133011327.csv 2026-03-11 13:30:11.327   0deg            26    52.0
197   third setup/EOS20260311133034359.csv 2026-03-11 13:30:34.359  90deg            26    52.0
198   third setup/EOS20260311133120521.csv 2026-03-11 13:31:20.521   0deg            27    54.0
